split,w_anger,w_frust,threshold,TP,FP,FN,TN,handover_precision,handover_recall,handover_f1,frustration_recall
val,0.5,0.5,0.2,126,90,89,653,0.5833333333333334,0.586046511627907,0.5846867749419954,0.525
test,0.5,0.5,0.2,283,271,180,1595,0.5108303249097473,0.6112311015118791,0.5565388397246804,0.46
val,0.5,0.5,0.21,125,88,90,655,0.5868544600938967,0.5813953488372093,0.5841121495327104,0.525
test,0.5,0.5,0.21,281,263,182,1603,0.5165441176470589,0.6069114470842333,0.5580933465739821,0.46
val,0.5,0.5,0.22,124,85,91,658,0.5933014354066986,0.5767441860465117,0.5849056603773585,0.525
test,0.5,0.5,0.22,276,253,187,1613,0.5217391304347826,0.5961123110151187,0.5564516129032256,0.46
val,0.5,0.5,0.23,116,78,99,665,0.5979381443298969,0.5395348837209303,0.5672371638141809,0.5
test,0.5,0.5,0.23,268,239,195,1627,0.5285996055226825,0.5788336933045356,0.552577319587629,0.44
val,0.5,0.5,0.24,112,73,103,670,0.6054054054054054,0.5209302325581395,0.56,0.475
test,0.5,0.5,0.24,261,224,202,1642,0.5381443298969072,0.5637149028077754,0.5506329113924051,0.42
val,0.5,0.5,0.25,103,63,112,680,0.6204819277108434,0.4790697674418605,0.5406824146981628,0.475
test,0.5,0.5,0.25,249,204,214,1662,0.5496688741721855,0.5377969762419006,0.5436681222707422,0.38
val,0.5,0.5,0.26,97,59,118,684,0.6217948717948718,0.4511627906976744,0.522911051212938,0.475
test,0.5,0.5,0.26,237,187,226,1679,0.5589622641509434,0.5118790496760259,0.5343855693348365,0.34
val,0.5,0.5,0.27,94,58,121,685,0.618421052631579,0.4372093023255814,0.5122615803814715,0.425
test,0.5,0.5,0.27,230,172,233,1694,0.572139303482587,0.49676025917926564,0.5317919075144508,0.32
val,0.5,0.5,0.28,93,54,122,689,0.6326530612244898,0.4325581395348837,0.5138121546961326,0.425
test,0.5,0.5,0.28,222,165,241,1701,0.5736434108527132,0.4794816414686825,0.5223529411764706,0.32
val,0.5,0.5,0.29,85,43,130,700,0.6640625,0.3953488372093023,0.49562682215743437,0.35
test,0.5,0.5,0.29,211,149,252,1717,0.5861111111111111,0.4557235421166307,0.5127582017010937,0.3
val,0.5,0.5,0.3,79,36,136,707,0.6869565217391305,0.3674418604651163,0.4787878787878787,0.35
test,0.5,0.5,0.3,203,137,260,1729,0.5970588235294118,0.43844492440604754,0.5056039850560399,0.28
val,0.5,0.5,0.31,74,29,141,714,0.7184466019417476,0.34418604651162793,0.4654088050314466,0.3
test,0.5,0.5,0.31,194,127,269,1739,0.6043613707165109,0.4190064794816415,0.4948979591836735,0.28
val,0.5,0.5,0.32,69,24,146,719,0.7419354838709677,0.3209302325581395,0.44805194805194803,0.275
test,0.5,0.5,0.32,185,113,278,1753,0.6208053691275168,0.39956803455723544,0.48620236530880423,0.28
val,0.5,0.5,0.33,59,18,156,725,0.7662337662337663,0.2744186046511628,0.4041095890410959,0.225
test,0.5,0.5,0.33,173,104,290,1762,0.6245487364620939,0.37365010799136067,0.4675675675675675,0.26
val,0.5,0.5,0.34,41,10,174,733,0.803921568627451,0.19069767441860466,0.30827067669172936,0.225
test,0.5,0.5,0.34,160,87,303,1779,0.6477732793522267,0.34557235421166305,0.4507042253521127,0.26
val,0.5,0.5,0.35,23,4,192,739,0.8518518518518519,0.10697674418604651,0.19008264462809915,0.1
test,0.5,0.5,0.35,102,50,361,1816,0.6710526315789473,0.2203023758099352,0.3317073170731707,0.2
val,0.5,0.5,0.36,9,2,206,741,0.8181818181818182,0.04186046511627907,0.07964601769911504,0.1
test,0.5,0.5,0.36,31,29,432,1837,0.5166666666666667,0.06695464362850972,0.118546845124283,0.2
val,0.5,0.5,0.37,8,2,207,741,0.8,0.037209302325581395,0.07111111111111111,0.1
test,0.5,0.5,0.37,20,24,443,1842,0.45454545454545453,0.04319654427645788,0.07889546351084813,0.18
val,0.5,0.5,0.38,8,2,207,741,0.8,0.037209302325581395,0.07111111111111111,0.1
test,0.5,0.5,0.38,18,22,445,1844,0.45,0.038876889848812095,0.07157057654075547,0.16
val,0.5,0.5,0.39,8,2,207,741,0.8,0.037209302325581395,0.07111111111111111,0.1
