split,w_anger,w_frust,threshold,TP,FP,FN,TN,handover_precision,handover_recall,handover_f1,frustration_recall
val,0.5,0.5,0.1,143,133,72,610,0.5181159420289855,0.6651162790697674,0.5824847250509164,0.675
test,0.5,0.5,0.1,323,437,140,1429,0.425,0.6976241900647948,0.5282093213409649,0.54
val,0.5,0.5,0.12,136,115,79,628,0.5418326693227091,0.6325581395348837,0.5836909871244635,0.625
test,0.5,0.5,0.12,316,388,147,1478,0.44886363636363635,0.6825053995680346,0.5415595544130248,0.54
val,0.5,0.5,0.14,130,109,85,634,0.5439330543933054,0.6046511627906976,0.5726872246696035,0.6
test,0.5,0.5,0.14,305,361,158,1505,0.45795795795795796,0.6587473002159827,0.5403011514614703,0.52
val,0.5,0.5,0.16,125,103,90,640,0.5482456140350878,0.5813953488372093,0.5643340857787811,0.6
test,0.5,0.5,0.16,297,339,166,1527,0.4669811320754717,0.6414686825053996,0.54049135577798,0.52
val,0.5,0.5,0.18,118,90,97,653,0.5673076923076923,0.5488372093023256,0.5579196217494089,0.55
test,0.5,0.5,0.18,289,313,174,1553,0.48006644518272423,0.6241900647948164,0.5427230046948357,0.46
val,0.5,0.5,0.2,114,84,101,659,0.5757575757575758,0.5302325581395348,0.5520581113801453,0.525
test,0.5,0.5,0.2,280,293,183,1573,0.4886561954624782,0.6047516198704104,0.5405405405405406,0.46
val,0.5,0.5,0.22,112,79,103,664,0.5863874345549738,0.5209302325581395,0.5517241379310345,0.525
test,0.5,0.5,0.22,268,274,195,1592,0.4944649446494465,0.5788336933045356,0.5333333333333333,0.44
val,0.5,0.5,0.24,111,74,104,669,0.6,0.5162790697674419,0.555,0.525
test,0.5,0.5,0.24,262,253,201,1613,0.5087378640776699,0.5658747300215983,0.5357873210633947,0.44
val,0.5,0.5,0.26,108,67,107,676,0.6171428571428571,0.5023255813953489,0.5538461538461538,0.5
test,0.5,0.5,0.26,256,237,207,1629,0.5192697768762677,0.5529157667386609,0.5355648535564853,0.44
val,0.5,0.5,0.28,101,64,114,679,0.6121212121212121,0.4697674418604651,0.5315789473684209,0.45
test,0.5,0.5,0.28,252,219,211,1647,0.535031847133758,0.5442764578833693,0.5396145610278372,0.42
val,0.5,0.5,0.3,101,63,114,680,0.6158536585365854,0.4697674418604651,0.5329815303430079,0.45
test,0.5,0.5,0.3,244,196,219,1670,0.5545454545454546,0.5269978401727862,0.5404208194905868,0.38
val,0.5,0.5,0.32,98,59,117,684,0.6242038216560509,0.4558139534883721,0.5268817204301075,0.45
