audio_id,label,src_path,dst_path,duration_sec,sample_rate,snr_db,noise_source,codec,bandpass_hz,ts
anger_00000,anger,data/synthetic/audio/anger/anger_00000.wav,data/synthetic/audio_phone/anger/anger_00000.wav,7.35,16000,23.43,synthetic,mu_law_8k,300-3400,1778143770.2559178
anger_00004,anger,data/synthetic/audio/anger/anger_00004.wav,data/synthetic/audio_phone/anger/anger_00004.wav,8.8,16000,16.65,synthetic,mu_law_8k,300-3400,1778143770.25891
anger_00001,anger,data/synthetic/audio/anger/anger_00001.wav,data/synthetic/audio_phone/anger/anger_00001.wav,8.45,16000,18.42,synthetic,mu_law_8k,300-3400,1778143770.2609048
anger_00003,anger,data/synthetic/audio/anger/anger_00003.wav,data/synthetic/audio_phone/anger/anger_00003.wav,8.95,16000,20.96,synthetic,mu_law_8k,300-3400,1778143770.2658916
anger_00008,anger,data/synthetic/audio/anger/anger_00008.wav,data/synthetic/audio_phone/anger/anger_00008.wav,6.3,16000,19.1,synthetic,mu_law_8k,300-3400,1778143770.2918217
anger_00011,anger,data/synthetic/audio/anger/anger_00011.wav,data/synthetic/audio_phone/anger/anger_00011.wav,6.5,16000,17.5,synthetic,mu_law_8k,300-3400,1778143770.2938168
anger_00007,anger,data/synthetic/audio/anger/anger_00007.wav,data/synthetic/audio_phone/anger/anger_00007.wav,7.3,16000,24.91,synthetic,mu_law_8k,300-3400,1778143770.2958114
anger_00013,anger,data/synthetic/audio/anger/anger_00013.wav,data/synthetic/audio_phone/anger/anger_00013.wav,8.65,16000,17.79,synthetic,mu_law_8k,300-3400,1778143770.3187501
anger_00017,anger,data/synthetic/audio/anger/anger_00017.wav,data/synthetic/audio_phone/anger/anger_00017.wav,4.95,16000,23.97,synthetic,mu_law_8k,300-3400,1778143770.325731
anger_00014,anger,data/synthetic/audio/anger/anger_00014.wav,data/synthetic/audio_phone/anger/anger_00014.wav,8.55,16000,16.88,synthetic,mu_law_8k,300-3400,1778143770.3347073
anger_00015,anger,data/synthetic/audio/anger/anger_00015.wav,data/synthetic/audio_phone/anger/anger_00015.wav,7.5,16000,15.33,synthetic,mu_law_8k,300-3400,1778143770.342686
anger_00018,anger,data/synthetic/audio/anger/anger_00018.wav,data/synthetic/audio_phone/anger/anger_00018.wav,8.1,16000,21.32,synthetic,mu_law_8k,300-3400,1778143770.3586426
anger_00019,anger,data/synthetic/audio/anger/anger_00019.wav,data/synthetic/audio_phone/anger/anger_00019.wav,9.3,16000,20.56,synthetic,mu_law_8k,300-3400,1778143770.370611
anger_00020,anger,data/synthetic/audio/anger/anger_00020.wav,data/synthetic/audio_phone/anger/anger_00020.wav,6.7,16000,18.62,synthetic,mu_law_8k,300-3400,1778143770.3716085
anger_00021,anger,data/synthetic/audio/anger/anger_00021.wav,data/synthetic/audio_phone/anger/anger_00021.wav,8.05,16000,22.77,synthetic,mu_law_8k,300-3400,1778143770.3825798
